subject activity measurement mean
1 5.STANDING 1.tbodyaccmeanx 0.278917629056604
1 4.SITTING 1.tbodyaccmeanx 0.261237565425532
1 6.LAYING 1.tbodyaccmeanx 0.22159824394
1 1.WALKING 1.tbodyaccmeanx 0.277330758736842
1 3.WALKING_DOWNSTAIRS 1.tbodyaccmeanx 0.289188320408163
1 2.WALKING_UPSTAIRS 1.tbodyaccmeanx 0.255461689622641
3 5.STANDING 1.tbodyaccmeanx 0.280046513278689
3 4.SITTING 1.tbodyaccmeanx 0.257197599134615
3 6.LAYING 1.tbodyaccmeanx 0.275516852741935
3 1.WALKING 1.tbodyaccmeanx 0.275567462068965
3 3.WALKING_DOWNSTAIRS 1.tbodyaccmeanx 0.292423484693878
3 2.WALKING_UPSTAIRS 1.tbodyaccmeanx 0.260819873067797
5 5.STANDING 1.tbodyaccmeanx 0.282544390892857
5 4.SITTING 1.tbodyaccmeanx 0.273694139545455
5 6.LAYING 1.tbodyaccmeanx 0.278334325576923
5 1.WALKING 1.tbodyaccmeanx 0.27784234625
5 3.WALKING_DOWNSTAIRS 1.tbodyaccmeanx 0.29354392712766
5 2.WALKING_UPSTAIRS 1.tbodyaccmeanx 0.268459469914894
6 5.STANDING 1.tbodyaccmeanx 0.280346248596491
6 4.SITTING 1.tbodyaccmeanx 0.276778487454545
6 6.LAYING 1.tbodyaccmeanx 0.248656520140351
6 1.WALKING 1.tbodyaccmeanx 0.283658868070175
6 3.WALKING_DOWNSTAIRS 1.tbodyaccmeanx 0.277045258145833
6 2.WALKING_UPSTAIRS 1.tbodyaccmeanx 0.268229355098039
7 5.STANDING 1.tbodyaccmeanx 0.282723539433962
7 4.SITTING 1.tbodyaccmeanx 0.284674637291667
7 6.LAYING 1.tbodyaccmeanx 0.250176694038462
7 1.WALKING 1.tbodyaccmeanx 0.275592961754386
7 3.WALKING_DOWNSTAIRS 1.tbodyaccmeanx 0.28030708
7 2.WALKING_UPSTAIRS 1.tbodyaccmeanx 0.248706923078431
8 5.STANDING 1.tbodyaccmeanx 0.279620986111111
8 4.SITTING 1.tbodyaccmeanx 0.267491472934783
8 6.LAYING 1.tbodyaccmeanx 0.261254282907407
8 1.WALKING 1.tbodyaccmeanx 0.27468631
8 3.WALKING_DOWNSTAIRS 1.tbodyaccmeanx 0.283484089210526
8 2.WALKING_UPSTAIRS 1.tbodyaccmeanx 0.258880152048781
11 5.STANDING 1.tbodyaccmeanx 0.277715562765957
11 4.SITTING 1.tbodyaccmeanx 0.276590197358491
11 6.LAYING 1.tbodyaccmeanx 0.280592970877193
11 1.WALKING 1.tbodyaccmeanx 0.271821892881356
11 3.WALKING_DOWNSTAIRS 1.tbodyaccmeanx 0.291605631956522
11 2.WALKING_UPSTAIRS 1.tbodyaccmeanx 0.263775859277778
14 5.STANDING 1.tbodyaccmeanx 0.280545613833333
14 4.SITTING 1.tbodyaccmeanx 0.279990577037037
14 6.LAYING 1.tbodyaccmeanx 0.233275439803922
14 1.WALKING 1.tbodyaccmeanx 0.271959598644068
14 3.WALKING_DOWNSTAIRS 1.tbodyaccmeanx 0.293422115555556
